trendy, dur=9, tsld=20, TP: 31, FP: 3647, TN: NaN, FN: 48
trendy, dur=7, tsld=30, TP: 19, FP: 1125, TN: NaN, FN: 59
trendy, dur=3, tsld=20, TP: 19, FP: 1115, TN: NaN, FN: 59
trendy, dur=7, tsld=10, TP: 30, FP: 8143, TN: NaN, FN: 49
trendy, dur=10, tsld=20, TP: 31, FP: 3876, TN: NaN, FN: 48
trendy, dur=8, tsld=30, TP: 20, FP: 1315, TN: NaN, FN: 59
trendy, dur=4, tsld=20, TP: 25, FP: 1633, TN: NaN, FN: 53
trendy, dur=1, tsld=30, TP: 4, FP: 102, TN: NaN, FN: 74
trendy, dur=9, tsld=30, TP: 22, FP: 1495, TN: NaN, FN: 57
trendy, dur=6, tsld=40, TP: 15, FP: 433, TN: NaN, FN: 63
trendy, dur=3, tsld=50, TP: 4, FP: 88, TN: NaN, FN: 74
trendy, dur=10, tsld=50, TP: 16, FP: 497, TN: NaN, FN: 62
trendy, dur=4, tsld=50, TP: 9, FP: 141, TN: NaN, FN: 69
trendy, dur=10, tsld=30, TP: 24, FP: 1632, TN: NaN, FN: 55
trendy, dur=7, tsld=40, TP: 15, FP: 529, TN: NaN, FN: 63
trendy, dur=1, tsld=60, TP: 0, FP: 4, TN: NaN, FN: 78
trendy, dur=1, tsld=40, TP: 2, FP: 35, TN: NaN, FN: 76
trendy, dur=5, tsld=50, TP: 10, FP: 199, TN: NaN, FN: 68
trendy, dur=8, tsld=40, TP: 17, FP: 636, TN: NaN, FN: 61
trendy, dur=2, tsld=60, TP: 2, FP: 25, TN: NaN, FN: 76
trendy, dur=2, tsld=40, TP: 8, FP: 104, TN: NaN, FN: 70
trendy, dur=6, tsld=50, TP: 10, FP: 260, TN: NaN, FN: 68
trendy, dur=3, tsld=60, TP: 3, FP: 55, TN: NaN, FN: 75
trendy, dur=9, tsld=40, TP: 19, FP: 731, TN: NaN, FN: 59
trendy, dur=3, tsld=40, TP: 10, FP: 163, TN: NaN, FN: 68
trendy, dur=7, tsld=50, TP: 14, FP: 313, TN: NaN, FN: 64
trendy, dur=4, tsld=60, TP: 5, FP: 90, TN: NaN, FN: 73
trendy, dur=4, tsld=40, TP: 11, FP: 257, TN: NaN, FN: 67
trendy, dur=10, tsld=40, TP: 18, FP: 828, TN: NaN, FN: 60
trendy, dur=5, tsld=60, TP: 9, FP: 133, TN: NaN, FN: 69
trendy, dur=8, tsld=50, TP: 16, FP: 381, TN: NaN, FN: 62
trendy, dur=5, tsld=40, TP: 13, FP: 327, TN: NaN, FN: 65
trendy, dur=1, tsld=50, TP: 0, FP: 10, TN: NaN, FN: 78
trendy, dur=6, tsld=60, TP: 9, FP: 173, TN: NaN, FN: 69
trendy, dur=2, tsld=50, TP: 3, FP: 52, TN: NaN, FN: 75
trendy, dur=9, tsld=50, TP: 15, FP: 440, TN: NaN, FN: 63
trendy, dur=7, tsld=60, TP: 10, FP: 216, TN: NaN, FN: 68
trendy, dur=1, tsld=80, TP: 0, FP: 4, TN: NaN, FN: 78
trendy, dur=4, tsld=70, TP: 4, FP: 60, TN: NaN, FN: 74
trendy, dur=8, tsld=80, TP: 10, FP: 126, TN: NaN, FN: 68
trendy, dur=8, tsld=60, TP: 12, FP: 248, TN: NaN, FN: 66
trendy, dur=2, tsld=80, TP: 0, FP: 12, TN: NaN, FN: 78
trendy, dur=5, tsld=70, TP: 6, FP: 85, TN: NaN, FN: 72
trendy, dur=3, tsld=80, TP: 2, FP: 24, TN: NaN, FN: 76
trendy, dur=9, tsld=80, TP: 10, FP: 148, TN: NaN, FN: 68
trendy, dur=9, tsld=60, TP: 13, FP: 287, TN: NaN, FN: 65
trendy, dur=6, tsld=70, TP: 7, FP: 120, TN: NaN, FN: 71
trendy, dur=4, tsld=80, TP: 3, FP: 40, TN: NaN, FN: 75
trendy, dur=10, tsld=80, TP: 11, FP: 170, TN: NaN, FN: 67
trendy, dur=10, tsld=60, TP: 14, FP: 330, TN: NaN, FN: 64
trendy, dur=7, tsld=70, TP: 9, FP: 145, TN: NaN, FN: 69
trendy, dur=5, tsld=80, TP: 3, FP: 67, TN: NaN, FN: 75
trendy, dur=1, tsld=90, TP: 0, FP: 3, TN: NaN, FN: 78
trendy, dur=1, tsld=70, TP: 0, FP: 4, TN: NaN, FN: 78
trendy, dur=8, tsld=70, TP: 10, FP: 174, TN: NaN, FN: 68
trendy, dur=2, tsld=90, TP: 0, FP: 7, TN: NaN, FN: 78
trendy, dur=6, tsld=80, TP: 4, FP: 83, TN: NaN, FN: 74
trendy, dur=2, tsld=70, TP: 1, FP: 16, TN: NaN, FN: 77
trendy, dur=3, tsld=90, TP: 1, FP: 15, TN: NaN, FN: 77
trendy, dur=9, tsld=70, TP: 13, FP: 204, TN: NaN, FN: 65
trendy, dur=3, tsld=70, TP: 2, FP: 36, TN: NaN, FN: 76
trendy, dur=7, tsld=80, TP: 7, FP: 109, TN: NaN, FN: 71
trendy, dur=4, tsld=90, TP: 2, FP: 30, TN: NaN, FN: 76
trendy, dur=5, tsld=90, TP: 3, FP: 47, TN: NaN, FN: 75
trendy, dur=2, tsld=100, TP: 0, FP: 4, TN: NaN, FN: 78
trendy, dur=10, tsld=70, TP: 13, FP: 237, TN: NaN, FN: 65
trendy, dur=3, tsld=100, TP: 0, FP: 12, TN: NaN, FN: 78
trendy, dur=9, tsld=100, TP: 7, FP: 91, TN: NaN, FN: 71
trendy, dur=6, tsld=90, TP: 4, FP: 66, TN: NaN, FN: 74
trendy, dur=4, tsld=100, TP: 1, FP: 19, TN: NaN, FN: 77
trendy, dur=7, tsld=90, TP: 5, FP: 80, TN: NaN, FN: 73
trendy, dur=10, tsld=100, TP: 8, FP: 106, TN: NaN, FN: 70
trendy, dur=5, tsld=100, TP: 2, FP: 33, TN: NaN, FN: 76
trendy, dur=8, tsld=90, TP: 8, FP: 102, TN: NaN, FN: 70
trendy, dur=6, tsld=100, TP: 2, FP: 51, TN: NaN, FN: 76
trendy, dur=9, tsld=90, TP: 9, FP: 115, TN: NaN, FN: 69
trendy, dur=7, tsld=100, TP: 3, FP: 64, TN: NaN, FN: 75
trendy, dur=10, tsld=90, TP: 10, FP: 136, TN: NaN, FN: 68
trendy, dur=8, tsld=100, TP: 4, FP: 78, TN: NaN, FN: 74
trendy, dur=1, tsld=100, TP: 0, FP: 2, TN: NaN, FN: 78
